package_type,filename,size_MB,sha256,github_file_size_ok,required_for_students
core,Teaching_PCD_Environmental_GIS_Core_v1.zip,6.841056823730469,c9e335506b7c1a30335ead5e04a04d6c1ed871251ccb3f1633514842733eb31c,True,True
pcd_excel,Teaching_PCD_Environmental_GIS_PCD_Excel_v1.zip,0.9996070861816406,1639949d55c2f35e0bf8cd0666bad4e44c65144d03d7695ec6399293bb757afc,True,True
gis_source,Teaching_PCD_Environmental_GIS_GIS_Source_v1.zip,5.560163497924805,41c23cff60de3d448085cfb71b28876b1ff43c86743840b221354a93249b7c4d,True,True
